ticker,sector_code,sector_name
SPGI,Fin,Financials
SRE,Util,Utilities
STE,Health,Health Care
STLD,Mat,Materials
STT,Fin,Financials
STX,IT,Information Technology
SYF,Fin,Financials
SYK,Health,Health Care
SYY,ConsStp,Consumer Staples
T,Comm,Communication Services
TAP,ConsStp,Consumer Staples
TDG,Ind,Industrials
TECH,Health,Health Care
TEL,IT,Information Technology
TER,IT,Information Technology
TFC,Fin,Financials
TJX,ConsDisc,Consumer Discretionary
TMO,Health,Health Care
TMUS,Comm,Communication Services
TRGP,Energy,Energy
TRMB,IT,Information Technology
TRV,Fin,Financials
TSLA,ConsDisc,Consumer Discretionary
TSN,ConsStp,Consumer Staples
TT,Ind,Industrials
TTWO,Comm,Communication Services
TXN,IT,Information Technology
TXT,Ind,Industrials
TYL,IT,Information Technology
UAL,Ind,Industrials
UDR,RE,Real Estate
ULTA,ConsDisc,Consumer Discretionary
UNH,Health,Health Care
UNP,Ind,Industrials
UPS,Ind,Industrials
URI,Ind,Industrials
USB,Fin,Financials
V,Fin,Financials
VICI,RE,Real Estate
VLO,Energy,Energy
VMC,Mat,Materials
VRSK,Ind,Industrials
VRTX,Health,Health Care
VST,Util,Utilities
VTR,RE,Real Estate
VZ,Comm,Communication Services
WAB,Ind,Industrials
WAT,Health,Health Care
WBD,Comm,Communication Services
WDC,IT,Information Technology
WEC,Util,Utilities
WELL,RE,Real Estate
WFC,Fin,Financials
WM,Ind,Industrials
WMB,Energy,Energy
WMT,ConsStp,Consumer Staples
WTW,Fin,Financials
WYNN,ConsDisc,Consumer Discretionary
XEC,Energy,Energy
XEL,Util,Utilities
XOM,Energy,Energy
XRAY,Health,Health Care
XYL,Ind,Industrials
YUM,ConsDisc,Consumer Discretionary
ZION,Fin,Financials
ZTS,Health,Health Care
